site_name,site,twitter_handle
huffpost,huffpost.com,@HuffPost
the new yorker,newyorker.com,@NewYorker
msnbc,msnbc.com,@MSNBC
newsweek,newsweek.com,@Newsweek
cnn news,cnn.com,@CNN
new york times,nytimes.com,@nytimes
economist,economist.com,@TheEconomist
time,time.com,@TIME
washington post,washingtonpost.com,@washingtonpost
reuters,reuters.com,@Reuters
ap,apnews.com,@AP
npr news,npr.org,@NPR
usa today,usatoday.com,@USATODAY
fox news,foxnews.com,@FoxNews
the wall street journal,wsj.com,@WSJ
market watch,marketwatch.com,@MarketWatch
new york post,nypost.com,@nypost
daily caller,dailycaller.com,@DailyCaller
the blaze,theblaze.com,@theblaze
the daily wire,dailywire.com,@realDailyWire
cdc,cdc.gov,@CDCgov
world health organization,who.int,@WHO
dailymail,dailymail.co.uk,@MailOnline
theguardian,theguardian.com,@guardian
nypost,nypost.com,@nypost
independent,independent.co.uk
