site,MBFC factual,Site Rank,Year online,Name,Media Bias/Fact Check URL,Wikipedia,MBFC,Unnamed: 8,ID,URL,iffy,http,✓,volume
100percentfedup.com,low,101963,,100 Percent Fed Up,https://mediabiasfactcheck.com/100-percent-fed-up/,,FN,44.5,1,https://100percentfedup.com/,1.0,200,↗,0
10news.one,low,2688331,,10News.one,https://mediabiasfactcheck.com/10news-one/,,FN,,1582,https://www.10news.one/,1.0,200,↗,3
12minutos.com,low,330294,,12minutos.com,https://mediabiasfactcheck.com/12minutos-com/,,FN,,1303,http://www.12minutos.com/,1.0,200,↗,22
21stcenturywire.com,mixed,131699,,21st Century Wire,https://mediabiasfactcheck.com/21st-century-wire/,,CP,10.0,3,https://21stcenturywire.com/,,200,↗,1801
369news.net,mixed,1810968,2015.0,369 News,https://mediabiasfactcheck.com/369news/,,CP,,1408,https://369news.net/,,200,↗,0
911truth.org,low,900437,2003.0,911Truth.org,https://mediabiasfactcheck.com/911truth-org/,,CP,,2295,https://911truth.org/,1.0,200,↗,7
aapsonline.org,low,266505,1998.0,Association of American Physicians and Surgeons,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,https://en.wikipedia.org/wiki/Association_of_American_Physicians_and_Surgeons,FN,,2724,https://aapsonline.org/,1.0,200,↗,602
abcbusinessnews.com,mixed,20000000,,Experience Awareness (AbcBusinessNews.com),https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/,,FN,,4902,http://www.abcbusinessnews.com/,,200,↗,1
abovetopsecret.com,low,25965,1997.0,Above Top Secret,https://mediabiasfactcheck.com/above-top-secret/,,CP,,20,http://www.abovetopsecret.com/,1.0,200,↗,438
acpeds.org,mixed,397145,2002.0,American College of Pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,,FN,,1590,https://acpeds.org/,,200,↗,17
actionnews3.com,very-low,1639157,2015.0,Action News 3,https://mediabiasfactcheck.com/action-news-3/,,FN,20.0,25,https://actionnews3.com/,1.0,200,↗,0
activistmommy.com,low,573761,2016.0,Activist Mommy,https://mediabiasfactcheck.com/activist-mommy/,,FN,,2296,https://activistmommy.com/,1.0,200,↗,0
activistpost.com,low,65871,,Activist Post,https://mediabiasfactcheck.com/activist-post/,,CP,7.5,26,https://www.activistpost.com/,1.0,200,↗,3444
adflegal.org,low,235690,,Alliance Defending Freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,https://en.wikipedia.org/wiki/Alliance_Defending_Freedom,FN,,29,https://adflegal.org/,1.0,200,↗,84
ae911truth.org,mixed,218567,,Architects & Engineers for 9/11 Truth,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/,,CP,,1424,https://www.ae911truth.org/,,200,↗,83
afa.net,low,258741,1996.0,American Family Association,https://mediabiasfactcheck.com/american-family-association/,https://en.wikipedia.org/wiki/American_Family_Association,FN,,1591,https://afa.net/,1.0,200,↗,0
ahtribune.com,mixed,331966,2015.0,American Herald Tribune,https://mediabiasfactcheck.com/american-herald-tribune/,,CP,0.0,35,https://ahtribune.com/,,403,↗,37
aim4truth.org,mixed,199732,2017.0,American Intelligence Media,https://mediabiasfactcheck.com/american-intelligence-media/,,CP,,1417,https://aim4truth.org/,,200,↗,527
albawaba.com,mixed,33631,1999.0,Al Bawaba,https://mediabiasfactcheck.com/al-bawaba/,,FN,,4854,https://www.albawaba.com/,,200,↗,1459
alexanderhiggins.com,mixed,6355919,,Higgins News Network,https://mediabiasfactcheck.com/higgins-news-network/,,CP,,1477,http://alexanderhiggins.com/,,200,↗,0
allianceforadvancedhealth.com,mixed,690779,2016.0,Alliance for Advanced Health,https://mediabiasfactcheck.com/alliance-advanced-health/,,CP,,1413,https://allianceforadvancedhealth.com/,,200,↗,0
allnewspipeline.com,low,119886,2014.0,All News Pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,,FN,,41,https://allnewspipeline.com/,1.0,200,↗,214
alphanewsmn.com,low,316986,2015.0,Alpha News,https://mediabiasfactcheck.com/alpha-news/,,FN,39.5,2298,https://alphanewsmn.com/,1.0,200,↗,554
alt-market.com,mixed,243083,2010.0,Alt-Market,https://mediabiasfactcheck.com/alt-market/,,CP,,42,https://alt-market.com/,,0,↗,0
alternativemediasyndicate.net,mixed,18584749,2018.0,Alternative Media Syndicate,https://mediabiasfactcheck.com/alternative-media-syndicate/,,FN,,1308,http://alternativemediasyndicate.net/,,200,↗,0
alternativenews.com,low,2828101,1996.0,AlternativeNews.com,https://mediabiasfactcheck.com/alternativenews-com/,,CP,,2299,https://alternativenews.com/,1.0,200,↗,0
althealthworks.com,low,411488,,AltHealth Works,https://mediabiasfactcheck.com/althealth-works/,,CP,30.0,1414,https://althealthworks.com/,1.0,200,↗,78
america.cgtn.com,mixed,15296,2002.0,China Global Television Network,https://mediabiasfactcheck.com/china-global-television-network-cgtn/,,FN,44.5,4858,https://america.cgtn.com/,,200,↗,77
americadaily.com,mixed,20000000,,America Daily,https://mediabiasfactcheck.com/america-daily/,,FN,,2689,https://americadaily.com/,,503,↗,2
americanactionnews.com,mixed,206202,2013.0,American Action News,https://mediabiasfactcheck.com/american-action-news/,,FN,39.5,4911,https://americanactionnews.com/,,200,↗,656
americanconservativemedia.com,mixed,20000000,,American Conservative Media,https://mediabiasfactcheck.com/american-conservative-media/,,FN,,2700,https://americanconservativemedia.com/,,200,↗,13
americandigitalnews.com,mixed,1324818,2017.0,American Digital News,https://mediabiasfactcheck.com/american-digital-news/,,CP,,1416,https://americandigitalnews.com/,,200,↗,23
americanfreepress.net,low,460516,2001.0,American Free Press,https://mediabiasfactcheck.com/american-free-press/,https://en.wikipedia.org/wiki/American_Free_Press,CP,,51,https://americanfreepress.net/,1.0,200,↗,0
americanjournalreview.com,low,322527,2015.0,American Journal Review,https://mediabiasfactcheck.com/american-journal-review/,,FN,7.5,52,http://americanjournalreview.com/,1.0,200,↗,0
americanlookout.com,low,399717,2016.0,American Lookout,https://mediabiasfactcheck.com/american-lookout/,,FN,60.0,54,https://americanlookout.com/,1.0,200,↗,376
americanpatriotdaily.com,mixed,158425,2015.0,American Patriot Daily,https://mediabiasfactcheck.com/american-patriot-daily/,,FN,,58,https://www.americanpatriotdaily.com/,,200,↗,29
americanpeopledaily.com,low,678656,2017.0,American People Daily,https://mediabiasfactcheck.com/american-people-daily/,,FN,,4764,https://americanpeopledaily.com/,1.0,200,↗,7
americanprinciplesproject.org,low,7206620,,American Principles Project,https://mediabiasfactcheck.com/american-principles-project/,https://en.wikipedia.org/wiki/American_Principles_Project,FN,,1597,https://americanprinciplesproject.org/,1.0,200,↗,2
americansfortruth.com,very-low,3649691,1998.0,Americans for Truth about Homosexuality,https://mediabiasfactcheck.com/americans-for-truth-aftah/,https://en.wikipedia.org/wiki/Americans_for_Truth_about_Homosexuality,FN,,2301,https://americansfortruth.com/,1.0,200,↗,0
americanthinker.com,low,15496,2003.0,American Thinker,https://mediabiasfactcheck.com/american-thinker/,https://en.wikipedia.org/wiki/American_Thinker,FN,12.5,66,https://www.americanthinker.com/,1.0,200,↗,1342
americantruthtoday.com,low,546805,2019.0,American Truth Today,https://mediabiasfactcheck.com/american-truth-today/,,FN,,2302,https://americantruthtoday.com/,1.0,200,↗,435
americasfreedomfighters.com,very-low,768287,2013.0,Americas Freedom Fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,,FN,,70,https://americasfreedomfighters.com/,1.0,200,↗,20
amren.com,low,65466,1995.0,American Renaissance Magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,https://en.wikipedia.org/wiki/American_Renaissance_(magazine),FN,,74,https://www.amren.com/,1.0,200,↗,15
amtvmedia.com,low,1000462,,Alternative Media Television (AMTV),https://mediabiasfactcheck.com/alternative-media-television-amtv/,,CP,,75,https://www.amtvmedia.com/,1.0,200,↗,0
analyzingamerica.org,mixed,83911,2018.0,Analyzing America,https://mediabiasfactcheck.com/analyzing-america/,,FN,47.0,2598,http://analyzingamerica.org/,,200,↗,37
ancient-code.com,mixed,62611,,Ancient Code,https://mediabiasfactcheck.com/ancient-code/,,CP,,77,https://www.ancient-code.com/,,406,↗,38
ancient-origins.net,mixed,24718,,Ancient Origins,https://mediabiasfactcheck.com/ancient-origins/,,CP,,1419,https://www.ancient-origins.net/,,200,↗,0
andersoninstitute.com,mixed,20000000,2019.0,Anderson Institute,https://mediabiasfactcheck.com/anderson-institute/,,CP,,1420,https://andersoninstitute.com/,,200,↗,0
